pipeline_name	Neisseria pipeline
cgmlst-NEIS0409	NEIS0409,7,100.00,546/546,DNA
cgmlst-NEIS0410	NEIS0410,2,100.00,648/648,DNA
cgmlst-NEIS0411	NEIS0411,1,100.00,600/600,DNA
cgmlst-NEIS0412	NEIS0412,80,100.00,1116/1116,DNA
cgmlst-NEIS0414	NEIS0414,263,99.96,2397/2397,DNA
cgmlst-NEIS0415	NEIS0415,3,100.00,630/630,DNA
cgmlst-NEIS0416	NEIS0416,3,100.00,624/624,DNA
cgmlst-NEIS0417	NEIS0417,3,100.00,2016/2016,DNA
cgmlst-NEIS0418	NEIS0418,3,100.00,1188/1188,DNA
cgmlst-NEIS0419	NEIS0419,4,100.00,1065/1065,DNA
cgmlst-NEIS0421	NEIS0421,1,100.00,852/852,DNA
cgmlst-NEIS0422	NEIS0422,15,100.00,1170/1170,DNA
cgmlst-NEIS0425	NEIS0425,34,100.00,1410/1410,DNA
cgmlst-NEIS0426	NEIS0426,13,100.00,567/567,DNA
cgmlst-NEIS0427	NEIS0427,17,100.00,1317/1317,DNA
cgmlst-NEIS0428	NEIS0428,3,100.00,147/147,DNA
cgmlst-NEIS0429	NEIS0429,295,100.00,1323/1323,DNA
cgmlst-NEIS0430	NEIS0430,27,100.00,1494/1494,DNA
cgmlst-NEIS0431	NEIS0431,3,100.00,258/258,DNA
cgmlst-NEIS0432	NEIS0432,1,100.00,444/444,DNA
cgmlst-NEIS0433	NEIS0433,1177,99.95,2043/2043,DNA
cgmlst-NEIS0434	NEIS0434,521,100.00,1044/1044,DNA
cgmlst-NEIS0435	NEIS0435,7,100.00,294/294,DNA
cgmlst-NEIS0436	NEIS0436,13,100.00,1155/1155,DNA
cgmlst-NEIS0437	NEIS0437,6,100.00,219/219,DNA
cgmlst-NEIS0439	NEIS0439,20,100.00,627/627,DNA
cgmlst-NEIS0440	NEIS0440,1,100.00,303/303,DNA
cgmlst-NEIS0441	NEIS0441,1,100.00,171/171,DNA
cgmlst-NEIS0443	NEIS0443,286,100.00,1740/1740,DNA
cgmlst-NEIS0456	NEIS0456,78,100.00,969/969,DNA
cgmlst-NEIS0459	NEIS0459,4,100.00,459/459,DNA
cgmlst-NEIS0462	NEIS0462,80,100.00,1227/1227,DNA
cgmlst-NEIS0464	NEIS0464,1,100.00,660/660,DNA
cgmlst-NEIS0465	NEIS0465,1,100.00,516/516,DNA
cgmlst-NEIS0466	NEIS0466,10,100.00,423/423,DNA
cgmlst-NEIS0467	NEIS0467,9,100.00,372/372,DNA
cgmlst-NEIS0468	NEIS0468,22,100.00,639/639,DNA
cgmlst-NEIS0469	NEIS0469,1,100.00,1086/1086,DNA
cgmlst-NEIS0470	NEIS0470,1215,100.00,1521/1521,DNA
cgmlst-NEIS0471	NEIS0471,170,100.00,1500/1500,DNA
cgmlst-NEIS0472	NEIS0472,2,100.00,630/630,DNA
cgmlst-NEIS0473	NEIS0473,9,100.00,429/429,DNA
cgmlst-NEIS0474	NEIS0474,16,100.00,1224/1224,DNA
cgmlst-NEIS0475	NEIS0475,170,100.00,1380/1380,DNA
cgmlst-NEIS0476	NEIS0476,12,100.00,825/825,DNA
cgmlst-NEIS0477	NEIS0477,72,100.00,516/516,DNA
cgmlst-NEIS0478	NEIS0478,149,100.00,936/936,DNA
cgmlst-NEIS0479	NEIS0479,3,100.00,1194/1194,DNA
cgmlst-NEIS0480	NEIS0480,2,100.00,498/498,DNA
cgmlst-NEIS0481	NEIS0481,1,100.00,204/204,DNA
cgmlst-NEIS0482	NEIS0482,252,100.00,1587/1587,DNA
cgmlst-NEIS0483	NEIS0483,143,100.00,723/723,DNA
cgmlst-NEIS0484	NEIS0484,632,100.00,3486/3486,DNA
cgmlst-NEIS0486	NEIS0486,342,100.00,1047/1047,DNA
cgmlst-NEIS0487	NEIS0487,243,100.00,390/390,DNA
cgmlst-NEIS0488	NEIS0488,57,100.00,1179/1179,DNA
cgmlst-NEIS0489	NEIS0489,383,100.00,1935/1935,DNA
cgmlst-NEIS0490	NEIS0490,11,100.00,783/783,DNA
cgmlst-NEIS0491	NEIS0491,340,100.00,2190/2190,DNA
cgmlst-NEIS0493	NEIS0493,88,100.00,1113/1113,DNA
cgmlst-NEIS0495	NEIS0495,234,100.00,1929/1929,DNA
cgmlst-NEIS0496	NEIS0496,9,100.00,273/273,DNA
cgmlst-NEIS0497	NEIS0497,16,100.00,687/687,DNA
cgmlst-NEIS0498	NEIS0498,2,100.00,339/339,DNA
cgmlst-NEIS0499	NEIS0499,105,100.00,618/618,DNA
cgmlst-NEIS0500	NEIS0500,155,100.00,1512/1512,DNA
cgmlst-NEIS0501	NEIS0501,5,100.00,819/819,DNA
cgmlst-NEIS0502	NEIS0502,1,100.00,579/579,DNA
cgmlst-NEIS0503	NEIS0503,1,100.00,216/216,DNA
cgmlst-NEIS0504	NEIS0504,31,100.00,1056/1056,DNA
cgmlst-NEIS0505	NEIS0505,7,100.00,1218/1218,DNA
cgmlst-NEIS0506	NEIS0506,6,100.00,594/594,DNA
cgmlst-NEIS0507	NEIS0507,5,100.00,627/627,DNA
cgmlst-NEIS0508	NEIS0508,33,100.00,777/777,DNA
cgmlst-NEIS0509	NEIS0509,22,100.00,1233/1233,DNA
cgmlst-NEIS0510	NEIS0510,1,100.00,1344/1344,DNA
cgmlst-NEIS0512	NEIS0512,9,100.00,1422/1422,DNA
cgmlst-NEIS0513	NEIS0513,8,100.00,360/360,DNA
cgmlst-NEIS0514	NEIS0514,9,100.00,606/606,DNA
cgmlst-NEIS0515	NEIS0515,1,100.00,483/483,DNA
cgmlst-NEIS0516	NEIS0516,202,100.00,1101/1101,DNA
cgmlst-NEIS0517	NEIS0517,1,100.00,387/387,DNA
cgmlst-NEIS0518	NEIS0518,195,100.00,1248/1248,DNA
cgmlst-NEIS0519	NEIS0519,3,100.00,573/573,DNA
cgmlst-NEIS0520	NEIS0520,399,100.00,1020/1020,DNA
cgmlst-NEIS0521	NEIS0521,75,100.00,621/621,DNA
cgmlst-NEIS0522	NEIS0522,82,100.00,495/495,DNA
cgmlst-NEIS0523	NEIS0523,222,100.00,1662/1662,DNA
cgmlst-NEIS0524	NEIS0524,?,-,-,DNA
cgmlst-NEIS0528	NEIS0528,211,100.00,915/915,DNA
cgmlst-NEIS0529	NEIS0529,182,100.00,876/876,DNA
cgmlst-NEIS0530	NEIS0530,100,100.00,756/756,DNA
cgmlst-NEIS0531	NEIS0531,14,100.00,366/366,DNA
cgmlst-NEIS0532	NEIS0532,112,100.00,750/750,DNA
cgmlst-NEIS0533	NEIS0533,25,100.00,510/510,DNA
cgmlst-NEIS0534	NEIS0534,2,100.00,246/246,DNA
cgmlst-NEIS0535	NEIS0535,288,100.00,2427/2427,DNA
cgmlst-NEIS0536	NEIS0536,227,100.00,1407/1407,DNA
cgmlst-NEIS0537	NEIS0537,2,100.00,678/678,DNA
cgmlst-NEIS0539	NEIS0539,44,100.00,1815/1815,DNA
cgmlst-NEIS0540	NEIS0540,10,100.00,354/354,DNA
cgmlst-NEIS0541	NEIS0541,15,100.00,606/606,DNA
cgmlst-NEIS0542	NEIS0542,172,100.00,771/771,DNA
cgmlst-NEIS0543	NEIS0543,30,100.00,687/687,DNA
cgmlst-NEIS0545	NEIS0545,95,100.00,324/324,DNA
cgmlst-NEIS0546	NEIS0546,1,100.00,324/324,DNA
cgmlst-NEIS0547	NEIS0547,247,100.00,1065/1065,DNA
cgmlst-NEIS0548	NEIS0548,126,100.00,1110/1110,DNA
cgmlst-NEIS0549	NEIS0549,1,100.00,267/267,DNA
cgmlst-NEIS0550	NEIS0550,55,100.00,1857/1857,DNA
cgmlst-NEIS0551	NEIS0551,29,100.00,936/936,DNA
cgmlst-NEIS0552	NEIS0552,1,100.00,270/270,DNA
cgmlst-NEIS0553	NEIS0553,12,100.00,1125/1125,DNA
cgmlst-NEIS0554	NEIS0554,5,100.00,966/966,DNA
cgmlst-NEIS0555	NEIS0555,12,100.00,888/888,DNA
cgmlst-NEIS0556	NEIS0556,148,100.00,1296/1296,DNA
cgmlst-NEIS0557	NEIS0557,1,100.00,1305/1305,DNA
cgmlst-NEIS0560	NEIS0560,184,100.00,1260/1260,DNA
cgmlst-NEIS0561	NEIS0561,33,100.00,2385/2385,DNA
cgmlst-NEIS0562	NEIS0562,23,100.00,822/822,DNA
cgmlst-NEIS0563	NEIS0563,11,100.00,663/663,DNA
cgmlst-NEIS0565	NEIS0565,30,100.00,828/828,DNA
cgmlst-NEIS0566	NEIS0566,1,100.00,624/624,DNA
cgmlst-NEIS0567	NEIS0567,244,100.00,1140/1140,DNA
cgmlst-NEIS0568	NEIS0568,524,99.14,936/1068,DNA
cgmlst-NEIS0569	NEIS0569,3,100.00,531/531,DNA
cgmlst-NEIS0570	NEIS0570,13,100.00,1596/1596,DNA
cgmlst-NEIS0571	NEIS0571,3,100.00,396/396,DNA
cgmlst-NEIS0572	NEIS0572,2,100.00,768/768,DNA
cgmlst-NEIS0573	NEIS0573,49,100.00,738/738,DNA
cgmlst-NEIS0574	NEIS0574,10,100.00,639/639,DNA
cgmlst-NEIS0575	NEIS0575,174,100.00,1503/1503,DNA
cgmlst-NEIS0576	NEIS0576,17,100.00,1059/1059,DNA
cgmlst-NEIS0577	NEIS0577,5,100.00,1518/1518,DNA
cgmlst-NEIS0578	NEIS0578,14,100.00,996/996,DNA
cgmlst-NEIS0579	NEIS0579,91,99.57,467/466,DNA
cgmlst-NEIS0580	NEIS0580,258,100.00,1377/1377,DNA
cgmlst-NEIS0581	NEIS0581,160,100.00,870/870,DNA
cgmlst-NEIS0582	NEIS0582,187,100.00,600/600,DNA
cgmlst-NEIS0583	NEIS0583,1,100.00,234/234,DNA
cgmlst-NEIS0584	NEIS0584,1,100.00,534/534,DNA
cgmlst-NEIS0585	NEIS0585,1,100.00,459/459,DNA
cgmlst-NEIS0586	NEIS0586,192,100.00,1833/1833,DNA
cgmlst-NEIS0593	NEIS0593,10,100.00,246/246,DNA
cgmlst-NEIS0595	NEIS0595,7,100.00,390/390,DNA
cgmlst-NEIS0599	NEIS0599,1,100.00,678/678,DNA
cgmlst-NEIS0601	NEIS0601,40,100.00,678/678,DNA
cgmlst-NEIS0608	NEIS0608,5,100.00,390/390,DNA
cgmlst-NEIS0609	NEIS0609,5,100.00,1458/1458,DNA
cgmlst-NEIS0610	NEIS0610,4,100.00,891/891,DNA
cgmlst-NEIS0611	NEIS0611,1,100.00,390/390,DNA
cgmlst-NEIS0612	NEIS0612,22,100.00,525/525,DNA
cgmlst-NEIS0613	NEIS0613,514,100.00,1176/1176,DNA
cgmlst-NEIS0614	NEIS0614,50,100.00,2526/2526,DNA
cgmlst-NEIS0615	NEIS0615,72,100.00,1287/1287,DNA
cgmlst-NEIS0617	NEIS0617,13,100.00,573/573,DNA
cgmlst-NEIS0618	NEIS0618,387,100.00,996/996,DNA
cgmlst-NEIS0619	NEIS0619,131,100.00,621/621,DNA
cgmlst-NEIS0620	NEIS0620,264,100.00,1281/1281,DNA
cgmlst-NEIS0621	NEIS0621,145,100.00,1035/1035,DNA
cgmlst-NEIS0622	NEIS0622,71,100.00,588/588,DNA
cgmlst-NEIS0623	NEIS0623,5,100.00,183/183,DNA
cgmlst-NEIS0624	NEIS0624,186,100.00,762/762,DNA
cgmlst-NEIS0625	NEIS0625,3,100.00,402/402,DNA
cgmlst-NEIS0626	NEIS0626,1,100.00,198/198,DNA
cgmlst-NEIS0627	NEIS0627,1,100.00,117/117,DNA
cgmlst-NEIS0628	NEIS0628,20,100.00,786/786,DNA
cgmlst-NEIS0629	NEIS0629,15,100.00,873/873,DNA
cgmlst-NEIS0630	NEIS0630,13,100.00,624/624,DNA
cgmlst-NEIS0631	NEIS0631,4,100.00,225/225,DNA
cgmlst-NEIS0633	NEIS0633,16,100.00,1035/1035,DNA
cgmlst-NEIS0634	NEIS0634,16,100.00,426/426,DNA
cgmlst-NEIS0635	NEIS0635,11,100.00,477/477,DNA
cgmlst-NEIS0636	NEIS0636,1,100.00,324/324,DNA
cgmlst-NEIS0637	NEIS0637,74,100.00,804/804,DNA
cgmlst-NEIS0638	NEIS0638,123,100.00,924/924,DNA
cgmlst-NEIS0639	NEIS0639,14,100.00,627/627,DNA
cgmlst-NEIS0640	NEIS0640,22,100.00,492/492,DNA
cgmlst-NEIS0641	NEIS0641,219,100.00,1545/1545,DNA
cgmlst-NEIS0642	NEIS0642,9,100.00,498/498,DNA
cgmlst-NEIS0643	NEIS0643,2,100.00,999/999,DNA
cgmlst-NEIS0644	NEIS0644,33,100.00,1275/1275,DNA
cgmlst-NEIS0645	NEIS0645,12,100.00,447/447,DNA
cgmlst-NEIS0646	NEIS0646,1,100.00,375/375,DNA
cgmlst-NEIS0647	NEIS0647,162,100.00,750/750,DNA
cgmlst-NEIS0648	NEIS0648,174,100.00,780/780,DNA
cgmlst-NEIS0649	NEIS0649,75,100.00,696/696,DNA
cgmlst-NEIS0650	NEIS0650,189,100.00,1203/1203,DNA
cgmlst-NEIS0651	NEIS0651,3162,97.92,3994/4638,DNA
cgmlst-NEIS0652	NEIS0652,325,100.00,2076/2076,DNA
cgmlst-NEIS0653	NEIS0653,45,100.00,804/804,DNA
cgmlst-NEIS0654	NEIS0654,164,100.00,1125/1125,DNA
cgmlst-NEIS0655	NEIS0655,120,100.00,993/993,DNA
cgmlst-NEIS0656	NEIS0656,175,100.00,780/780,DNA
cgmlst-NEIS0657	NEIS0657,64,100.00,480/480,DNA
cgmlst-NEIS0658	NEIS0658,182,100.00,999/999,DNA
cgmlst-NEIS0659	NEIS0659,3,100.00,420/420,DNA
cgmlst-NEIS0660	NEIS0660,31,100.00,567/567,DNA
cgmlst-NEIS0661	NEIS0661,17,100.00,885/885,DNA
cgmlst-NEIS0663	NEIS0663,1,100.00,873/873,DNA
cgmlst-NEIS0664	NEIS0664,57,100.00,1545/1545,DNA
cgmlst-NEIS0665	NEIS0665,19,100.00,756/756,DNA
cgmlst-NEIS0666	NEIS0666,1,100.00,321/321,DNA
cgmlst-NEIS0667	NEIS0667,12,100.00,291/291,DNA
cgmlst-NEIS0668	NEIS0668,1,100.00,402/402,DNA
cgmlst-NEIS0669	NEIS0669,110,100.00,1011/1011,DNA
cgmlst-NEIS0671	NEIS0671,126,100.00,1116/1116,DNA
cgmlst-NEIS0672	NEIS0672,153,100.00,1947/1947,DNA
cgmlst-NEIS0673	NEIS0673,63,100.00,468/468,DNA
cgmlst-NEIS0674	NEIS0674,3,100.00,198/198,DNA
cgmlst-NEIS0675	NEIS0675,19,100.00,360/360,DNA
cgmlst-NEIS0676	NEIS0676,135,100.00,993/993,DNA
cgmlst-NEIS0681	NEIS0681,313,100.00,2364/2364,DNA
cgmlst-NEIS0682	NEIS0682,1,100.00,303/303,DNA
cgmlst-NEIS0683	NEIS0683,6,100.00,309/309,DNA
cgmlst-NEIS0684	NEIS0684,5,100.00,486/486,DNA
cgmlst-NEIS0685	NEIS0685,590,100.00,1302/1302,DNA
cgmlst-NEIS0686	NEIS0686,97,100.00,648/648,DNA
cgmlst-NEIS0687	NEIS0687,67,100.00,525/525,DNA
cgmlst-NEIS0688	NEIS0688,19,100.00,891/891,DNA
cgmlst-NEIS0689	NEIS0689,136,100.00,450/450,DNA
cgmlst-NEIS0690	NEIS0690,43,100.00,963/963,DNA
cgmlst-NEIS0691	NEIS0691,22,100.00,855/855,DNA
cgmlst-NEIS0692	NEIS0692,183,100.00,942/942,DNA
cgmlst-NEIS0693	NEIS0693,321,100.00,603/603,DNA
cgmlst-NEIS0694	NEIS0694,67,100.00,1674/1674,DNA
cgmlst-NEIS0695	NEIS0695,44,99.94,1620/1620,DNA
cgmlst-NEIS0696	NEIS0696,2,100.00,369/369,DNA
cgmlst-NEIS0697	NEIS0697,67,100.00,738/738,DNA
cgmlst-NEIS0698	NEIS0698,88,100.00,480/480,DNA
cgmlst-NEIS0699	NEIS0699,156,100.00,495/495,DNA
cgmlst-NEIS0700	NEIS0700,90,100.00,375/375,DNA
cgmlst-NEIS0701	NEIS0701,102,100.00,567/567,DNA
cgmlst-NEIS0702	NEIS0702,3,100.00,294/294,DNA
cgmlst-NEIS0703	NEIS0703,120,100.00,951/951,DNA
cgmlst-NEIS0704	NEIS0704,15,100.00,504/504,DNA
cgmlst-NEIS0705	NEIS0705,1,100.00,876/876,DNA
cgmlst-NEIS0706	NEIS0706,5,100.00,201/201,DNA
cgmlst-NEIS0707	NEIS0707,1,100.00,234/234,DNA
cgmlst-NEIS0708	NEIS0708,146,100.00,864/864,DNA
cgmlst-NEIS0709	NEIS0709,112,100.00,864/864,DNA
cgmlst-NEIS0710	NEIS0710,287,100.00,2121/2121,DNA
cgmlst-NEIS0711	NEIS0711,22,100.00,669/669,DNA
cgmlst-NEIS0712	NEIS0712,108,100.00,297/297,DNA
cgmlst-NEIS0713	NEIS0713,104,100.00,852/852,DNA
cgmlst-NEIS0714	NEIS0714,4,100.00,606/606,DNA
cgmlst-NEIS0715	NEIS0715,1,100.00,987/987,DNA
cgmlst-NEIS0717	NEIS0717,5,100.00,975/975,DNA
cgmlst-NEIS0718	NEIS0718,382,100.00,1020/1020,DNA
cgmlst-NEIS0719	NEIS0719,98,100.00,1794/1794,DNA
cgmlst-NEIS0720	NEIS0720,324,100.00,702/702,DNA
cgmlst-NEIS0721	NEIS0721,3,100.00,1113/1113,DNA
cgmlst-NEIS0722	NEIS0722,7,100.00,978/978,DNA
cgmlst-NEIS0723	NEIS0723,3,100.00,351/351,DNA
cgmlst-NEIS0724	NEIS0724,38,100.00,780/780,DNA
cgmlst-NEIS0726	NEIS0726,3,100.00,312/312,DNA
cgmlst-NEIS0727	NEIS0727,141,100.00,627/627,DNA
cgmlst-NEIS0728	NEIS0728,4,100.00,321/321,DNA
cgmlst-NEIS0729	NEIS0729,159,100.00,423/423,DNA
cgmlst-NEIS0730	NEIS0730,4,100.00,741/741,DNA
cgmlst-NEIS0731	NEIS0731,4,100.00,1275/1275,DNA
cgmlst-NEIS0732	NEIS0732,1,100.00,1218/1218,DNA
cgmlst-NEIS0733	NEIS0733,47,100.00,1065/1065,DNA
cgmlst-NEIS0734	NEIS0734,15,100.00,1395/1395,DNA
cgmlst-NEIS0735	NEIS0735,15,100.00,480/480,DNA
cgmlst-NEIS0736	NEIS0736,37,99.72,360/360,DNA
cgmlst-NEIS0737	NEIS0737,405,100.00,3615/3615,DNA
cgmlst-NEIS0738	NEIS0738,8,100.00,1119/1119,DNA
cgmlst-NEIS0739	NEIS0739,11,100.00,828/828,DNA
cgmlst-NEIS0741	NEIS0741,116,100.00,717/717,DNA
cgmlst-NEIS0742	NEIS0742,1,100.00,756/756,DNA
cgmlst-NEIS0743	NEIS0743,223,100.00,1383/1383,DNA
cgmlst-NEIS0744	NEIS0744,5,100.00,510/510,DNA
cgmlst-NEIS0745	NEIS0745,6,100.00,1416/1416,DNA
cgmlst-NEIS0746	NEIS0746,6,100.00,324/324,DNA
cgmlst-NEIS0747	NEIS0747,10,100.00,579/579,DNA
cgmlst-NEIS0748	NEIS0748,3,100.00,279/279,DNA
cgmlst-NEIS0749	NEIS0749,59,100.00,444/444,DNA
cgmlst-NEIS0750	NEIS0750,75,100.00,1968/1968,DNA
cgmlst-NEIS0751	NEIS0751,16,100.00,621/621,DNA
cgmlst-NEIS0752	NEIS0752,1,100.00,321/321,DNA
cgmlst-NEIS0753	NEIS0753,137,100.00,1017/1017,DNA
cgmlst-NEIS0754	NEIS0754,5,100.00,1158/1158,DNA
cgmlst-NEIS0755	NEIS0755,155,100.00,774/774,DNA
cgmlst-NEIS0756	NEIS0756,4,100.00,666/666,DNA
cgmlst-NEIS0757	NEIS0757,145,100.00,759/759,DNA
cgmlst-NEIS0758	NEIS0758,4,100.00,891/891,DNA
cgmlst-NEIS0759	NEIS0759,12,100.00,567/567,DNA
cgmlst-NEIS0760	NEIS0760,12,100.00,777/777,DNA
cgmlst-NEIS0761	NEIS0761,1,100.00,651/651,DNA
cgmlst-NEIS0762	NEIS0762,209,100.00,1041/1041,DNA
cgmlst-NEIS0763	NEIS0763,38,100.00,1380/1380,DNA
cgmlst-NEIS0764	NEIS0764,27,100.00,1152/1152,DNA
cgmlst-NEIS0765	NEIS0765,21,100.00,1305/1305,DNA
cgmlst-NEIS0766	NEIS0766,67,100.00,840/840,DNA
cgmlst-NEIS0767	NEIS0767,10,100.00,648/648,DNA
cgmlst-NEIS0768	NEIS0768,16,100.00,741/741,DNA
cgmlst-NEIS0769	NEIS0769,2,100.00,972/972,DNA
cgmlst-NEIS0771	NEIS0771,2,100.00,1236/1236,DNA
cgmlst-NEIS0772	NEIS0772,2,100.00,1119/1119,DNA
cgmlst-NEIS0773	NEIS0773,2,100.00,1005/1005,DNA
cgmlst-NEIS0774	NEIS0774,401,100.00,2280/2280,DNA
cgmlst-NEIS0775	NEIS0775,60,100.00,303/303,DNA
cgmlst-NEIS0776	NEIS0776,42,100.00,204/204,DNA
cgmlst-NEIS0777	NEIS0777,206,100.00,1332/1332,DNA
cgmlst-NEIS0778	NEIS0778,17,100.00,507/507,DNA
cgmlst-NEIS0779	NEIS0779,141,100.00,717/717,DNA
cgmlst-NEIS0780	NEIS0780,290,100.00,1701/1701,DNA
cgmlst-NEIS0781	NEIS0781,246,100.00,1362/1362,DNA
cgmlst-NEIS0782	NEIS0782,1,100.00,327/327,DNA
cgmlst-NEIS0784	NEIS0784,21,100.00,954/954,DNA
cgmlst-NEIS0785	NEIS0785,8,100.00,1201/1201,DNA
cgmlst-NEIS0788	NEIS0788,22,100.00,705/705,DNA
cgmlst-NEIS0789	NEIS0789,12,100.00,567/567,DNA
cgmlst-NEIS0790	NEIS0790,13,100.00,416/416,DNA
cgmlst-NEIS0791	NEIS0791,35,100.00,900/900,DNA
cgmlst-NEIS0792	NEIS0792,43,100.00,1458/1458,DNA
cgmlst-NEIS0793	NEIS0793,34,100.00,630/630,DNA
cgmlst-NEIS0794	NEIS0794,16,100.00,1296/1296,DNA
cgmlst-NEIS0795	NEIS0795,1,100.00,657/657,DNA
cgmlst-NEIS0807	NEIS0807,29,100.00,870/870,DNA
cgmlst-NEIS0808	NEIS0808,207,100.00,924/924,DNA
cgmlst-NEIS0809	NEIS0809,168,100.00,642/642,DNA
cgmlst-NEIS0810	NEIS0810,190,100.00,792/792,DNA
cgmlst-NEIS0811	NEIS0811,214,100.00,792/792,DNA
cgmlst-NEIS0812	NEIS0812,151,100.00,837/837,DNA
cgmlst-NEIS0813	NEIS0813,73,100.00,1839/1839,DNA
cgmlst-NEIS0814	NEIS0814,13,100.00,582/582,DNA
cgmlst-NEIS0815	NEIS0815,27,100.00,846/846,DNA
cgmlst-NEIS0816	NEIS0816,18,100.00,984/984,DNA
cgmlst-NEIS0817	NEIS0817,151,100.00,573/573,DNA
cgmlst-NEIS0818	NEIS0818,179,100.00,1170/1170,DNA
cgmlst-NEIS0819	NEIS0819,50,100.00,1527/1527,DNA
cgmlst-NEIS0820	NEIS0820,12,100.00,1074/1074,DNA
cgmlst-NEIS0821	NEIS0821,33,100.00,861/861,DNA
cgmlst-NEIS0822	NEIS0822,19,100.00,837/837,DNA
cgmlst-NEIS0823	NEIS0823,6,100.00,333/333,DNA
cgmlst-NEIS0824	NEIS0824,1,100.00,510/510,DNA
cgmlst-NEIS0825	NEIS0825,290,100.00,588/588,DNA
cgmlst-NEIS0826	NEIS0826,267,100.00,1407/1407,DNA
cgmlst-NEIS0827	NEIS0827,69,100.00,714/714,DNA
cgmlst-NEIS0828	NEIS0828,7,100.00,621/621,DNA
cgmlst-NEIS0829	NEIS0829,292,100.00,966/966,DNA
cgmlst-NEIS0830	NEIS0830,171,100.00,600/600,DNA
cgmlst-NEIS0831	NEIS0831,79,100.00,489/489,DNA
cgmlst-NEIS0833	NEIS0833,4,100.00,453/453,DNA
cgmlst-NEIS0834	NEIS0834,255,100.00,1188/1188,DNA
cgmlst-NEIS0835	NEIS0835,167,100.00,780/780,DNA
cgmlst-NEIS0897	NEIS0897,353,100.00,2226/2226,DNA
cgmlst-NEIS0899	NEIS0899,18,100.00,1116/1116,DNA
cgmlst-NEIS0900	NEIS0900,11,100.00,459/459,DNA
cgmlst-NEIS0901	NEIS0901,106,100.00,822/822,DNA
cgmlst-NEIS0902	NEIS0902,70,100.00,447/447,DNA
cgmlst-NEIS0905	NEIS0905,284,100.00,936/936,DNA
cgmlst-NEIS0906	NEIS0906,242,100.00,1197/1197,DNA
cgmlst-NEIS0907	NEIS0907,193,100.00,876/876,DNA
cgmlst-NEIS0908	NEIS0908,?,-,-,DNA
cgmlst-NEIS0909	NEIS0909,1,100.00,753/753,DNA
cgmlst-NEIS0910	NEIS0910,1,100.00,489/489,DNA
cgmlst-NEIS0911	NEIS0911,1,100.00,720/720,DNA
cgmlst-NEIS0912	NEIS0912,1,100.00,942/942,DNA
cgmlst-NEIS0913	NEIS0913,1,99.85,1374/1374,DNA
cgmlst-NEIS0915	NEIS0915,1,100.00,561/561,DNA
cgmlst-NEIS0916	NEIS0916,1,100.00,846/846,DNA
cgmlst-NEIS0917	NEIS0917,1,100.00,591/591,DNA
cgmlst-NEIS0918	NEIS0918,182,100.00,1140/1140,DNA
cgmlst-NEIS0919	NEIS0919,8,100.00,126/126,DNA
cgmlst-NEIS0920	NEIS0920,117,100.00,276/276,DNA
cgmlst-NEIS0921	NEIS0921,5,100.00,879/879,DNA
cgmlst-NEIS0922	NEIS0922,7,100.00,2277/2277,DNA
cgmlst-NEIS0923	NEIS0923,4,100.00,738/738,DNA
cgmlst-NEIS0924	NEIS0924,91,100.00,1404/1404,DNA
cgmlst-NEIS0925	NEIS0925,11,100.00,378/378,DNA
cgmlst-NEIS0926	NEIS0926,54,100.00,342/342,DNA
cgmlst-NEIS0927	NEIS0927,260,100.00,1764/1764,DNA
cgmlst-NEIS0928	NEIS0928,82,100.00,708/708,DNA
cgmlst-NEIS0929	NEIS0929,1,100.00,249/249,DNA
cgmlst-NEIS0930	NEIS0930,236,100.00,1284/1284,DNA
cgmlst-NEIS0931	NEIS0931,374,100.00,2829/2829,DNA
cgmlst-NEIS0932	NEIS0932,126,100.00,1182/1182,DNA
cgmlst-NEIS0933	NEIS0933,253,100.00,1434/1434,DNA
cgmlst-NEIS0934	NEIS0934,2,100.00,288/288,DNA
cgmlst-NEIS0935	NEIS0935,136,100.00,1167/1167,DNA
cgmlst-NEIS0936	NEIS0936,116,100.00,891/891,DNA
cgmlst-NEIS0941	NEIS0941,1226,100.00,2853/2853,DNA
cgmlst-NEIS0942	NEIS0942,33,100.00,798/798,DNA
cgmlst-NEIS0944	NEIS0944,2,100.00,2295/2295,DNA
cgmlst-NEIS0947	NEIS0947,2,100.00,591/591,DNA
cgmlst-NEIS0948	NEIS0948,2,100.00,1059/1059,DNA
cgmlst-NEIS0950	NEIS0950,-,-,-,DNA
cgmlst-NEIS0951	NEIS0951,?,-,-,DNA
cgmlst-NEIS0952	NEIS0952,8,100.00,198/198,DNA
cgmlst-NEIS0953	NEIS0953,64,100.00,285/285,DNA
cgmlst-NEIS0954	NEIS0954,4,100.00,279/279,DNA
cgmlst-NEIS0957	NEIS0957,14,100.00,561/561,DNA
cgmlst-NEIS0958	NEIS0958,1,100.00,1386/1386,DNA
cgmlst-NEIS0959	NEIS0959,10,100.00,384/384,DNA
cgmlst-NEIS0960	NEIS0960,24,100.00,1542/1542,DNA
cgmlst-NEIS0961	NEIS0961,167,100.00,834/834,DNA
cgmlst-NEIS0962	NEIS0962,66,99.36,1243/1243,DNA
cgmlst-NEIS0963	NEIS0963,228,100.00,1581/1581,DNA
cgmlst-NEIS0965	NEIS0965,13,100.00,435/435,DNA
cgmlst-NEIS0966	NEIS0966,36,100.00,438/438,DNA
